IDCliente,Dependentes,MesesComoCliente,TipoContrato,FormaPagamento,TotalGasto
7010-BRBUU,Sim,72,2 anos,CartaoCredito,1734.65
9688-YGXVR,Nao,,Mensal,CartaoCredito,3973.2
9286-DOJGF,Nao,,Mensal,DebitoAutomatico,2869.85
6994-KERXL,Nao,4,Mensal,BoletoEletronico,238.5
2181-UAESM,Nao,2,Mensal,BoletoEletronico,119.5
4312-GVYNH,Nao,70,2 anos,DebitoAutomatico,3370.2
2495-KZNFB,Nao,33,Mensal,BoletoEletronico,2989.6
4367-NHWMM,Nao,1,Mensal,BoletoImpresso,24.9
8898-KASCD,Nao,39,Anual,BoletoImpresso,1309.15
8016-NCFVO,Nao,55,Mensal,BoletoEletronico,6382.55
4578-PHJYZ,Sim,52,Anual,BoletoEletronico,3482.85
2091-MJTFX,Sim,30,Mensal,CartaoCredito,1561.5
2277-DJJDL,Nao,60,Mensal,BoletoEletronico,6017.9
2511-MORQY,Sim,50,Anual,DebitoAutomatico,2614.1
2731-GJRDG,Nao,32,Anual,DebitoAutomatico,3608
1784-EZDKJ,Nao,51,Anual,DebitoAutomatico,5498.8
2468-SJFLM,Nao,1,Mensal,BoletoImpresso,74.3
5115-SQAAU,,69,2 anos,DebitoAutomatico,1673.4
8708-XPXHZ,Sim,42,Mensal,BoletoEletronico,4186.3
0601-WZHJF,Nao,14,Mensal,BoletoEletronico,667.7
0463-TXOAK,Sim,52,2 anos,CartaoCredito,1334.5
4683-WYDOU,Nao,62,2 anos,DebitoAutomatico,6912.7
1166-PQLGG,Sim,72,2 anos,DebitoAutomatico,1463.45
0963-ZBDRN,Nao,32,Mensal,BoletoEletronico,3183.4
4871-JTKJF,Nao,1,Mensal,BoletoEletronico,69.65
7173-TETGO,Nao,72,2 anos,DebitoAutomatico,5602.25
4193-ORFCL,Nao,1,Mensal,BoletoImpresso,45.1
2692-PFYTJ,Nao,1,Mensal,BoletoImpresso,25.75
2369-UAPKZ,Nao,5,Mensal,BoletoImpresso,541.9
5193-QLVZB,Nao,63,2 anos,DebitoAutomatico,6536.5
0379-DJQHR,Sim,67,2 anos,CartaoCredito,5398.6
4657-FWVFY,Sim,40,Mensal,CartaoCredito,3915.4
0623-EJQEG,Nao,65,Anual,BoletoEletronico,6069.25
1699-TLDLZ,Sim,16,2 anos,BoletoImpresso,301.55
4501-UYKBC,Nao,46,Anual,CartaoCredito,3255.35
8158-WPEZG,Nao,11,Mensal,BoletoEletronico,425.1
9732-EQMWY,Nao,49,Mensal,BoletoEletronico,5025
1099-BTKWT,Nao,68,Anual,BoletoEletronico,3723.65
4815-TUMEQ,Nao,10,Anual,BoletoImpresso,185.2
6407-UTSLV,Nao,2,Mensal,DebitoAutomatico,163.7
0018-NYROU,Nao,5,Mensal,BoletoEletronico,351.5
4632-XJMEX,Sim,53,Anual,CartaoCredito,3419.5
1409-PHXTF,Nao,54,2 anos,BoletoEletronico,6077.75
8229-TNIQA,Nao,4,Mensal,BoletoImpresso,196.95
0529-ONKER,Nao,15,Mensal,BoletoEletronico,1146.65
3675-YDUPJ,Nao,10,Mensal,BoletoImpresso,193.05
4484-CGXFK,Nao,3,Mensal,BoletoEletronico,196.15
4443-EMBNA,Nao,71,2 anos,DebitoAutomatico,1836.9
4280-DLSHD,Nao,8,Mensal,BoletoImpresso,445.85
9300-AGZNL,Nao,1,Mensal,BoletoEletronico,94
2789-CZANW,Sim,64,2 anos,DebitoAutomatico,6997.3
8464-EETCQ,Nao,57,2 anos,CartaoCredito,1094.35
7216-EWTRS,Nao,1,Mensal,BoletoEletronico,100.8
4468-KAZHE,Nao,20,Mensal,BoletoEletronico,1259.35
8623-ULFNQ,Nao,26,Mensal,BoletoEletronico,1652.4
9317-WZPGV,Nao,2,Mensal,DebitoAutomatico,159.4
8947-YRTDV,Sim,32,Anual,BoletoImpresso,3131.55
1814-DKOLC,Nao,5,Mensal,BoletoImpresso,134.75
8071-SBTRN,Nao,70,2 anos,BoletoImpresso,7737.55
